name,name_en,amenity,building,operator_t,capacity_p,addr_full,addr_city,source,osm_id,osm_type,longitude,latitude
Mala Kachallah Model School,,school,,,,,,,5604821219,nodes,13.1555649,11.8412804
,,school,,,,,,,3855668814,nodes,13.2262499,10.1675759
,,school,,,,,,,5604821208,nodes,13.1532222,11.8300548
School Women Primary-Secondary,,school,,,,,,,5604720211,nodes,13.1402776,11.8157927
,,school,,,,,,,5604833633,nodes,13.1718387,11.8265768
Mafoni Primary School,,school,,public,,"Mafoni, Hausari, Maiduguri",,,7817546691,nodes,13.1507581,11.84486
Rest Room,,school,,,,,,,11224620338,nodes,11.1752653,10.3050956
Src secretariat gombe state university,,school,,,,,,,11148259405,nodes,11.1746769,10.3067579
mosque male and female rest roo,,school,,,,,,,11176399237,nodes,11.1754149,10.3058136
Geography Department Room 3,,school,,,,,,,11176288372,nodes,11.1758545,10.3047515
RAUDHA,,school,,,,,,,7341063588,nodes,11.1846316,10.2854419
PEN RESOURCE ACADEMY (boarding sch)& ROBOTICS CENTER,,school,,,,,,,7331134586,nodes,11.0533183,10.2903584
Block C,,college,,,,,,,7252839889,nodes,11.1731113,10.3060111
B-BLOCK,,college,,,,,,,7252879285,nodes,11.1731143,10.3063185
FCE (T) Gombe,,school,,,,,,,7255201886,nodes,11.1482241,10.3151445
Teshegwa Primary School,,school,,,,,,,11203507112,nodes,10.1433416,12.5488731
,,school,,,,,,nigeriase4all.gov.ng,9889268324,nodes,10.017839,12.9687307
Ibinola primary school,,school,,,,,,,6065537787,nodes,11.2224096,9.8960457
,,school,,,,,,nigeriase4all.gov.ng,9895482340,nodes,10.079177,11.0198501
,,school,,,,,,nigeriase4all.gov.ng,9894883443,nodes,10.1579494,10.9572022
,,school,,,,,,nigeriase4all.gov.ng,9895368952,nodes,10.1486096,10.9674411
,,school,,,,,,nigeriase4all.gov.ng,9895368993,nodes,10.1512305,10.9694537
,,school,,,,,,nigeriase4all.gov.ng,9894883454,nodes,10.1600002,10.9590853
,,school,,,,,,nigeriase4all.gov.ng,9895368995,nodes,10.1513336,10.9702099
All Saints' College Gombe,,school,,,,,,,11165058313,nodes,11.1459221,10.2997277
A.A Haruna Memorial School,,school,,,,,,,11165058208,nodes,11.1490432,10.306713
"Bubayero Primary school Gombe, Gombe State",,school,,,,,,,11159801205,nodes,11.1673633,10.292411
"Bubayero Primary school Gombe, Gombe State",,school,,,,,,,11159784806,nodes,11.1674615,10.2908316
college of nursing/midwifery,,college,,,,,,,9057010464,nodes,11.9597207,11.7279887
Abdullahi IBN Masud islamic School,,school,,,,,Maiduguri,,9042606919,nodes,13.1087693,11.8280958
School of Health Technology Kaltungo,,school,,government,,,,,11163599397,nodes,11.3198761,9.8279663
"federal polytechnic, permanent side",,school,,government,,,,,11163567768,nodes,11.3416422,9.8218613
ECWA nursery and primary school wili,,school,,private,,,,,11162412524,nodes,11.2651197,9.9091441
Religious department,,school,,,,,,,7252872287,nodes,11.1745459,10.3059825
A-BLOCK,,college,,,,,,,7252872288,nodes,11.1722979,10.3064918
School of Post graduate studies,,college,,,,,,,7253015689,nodes,11.1715808,10.3056459
DEPARTMENT OF ENGLISH AND HISTORY,,college,,,,,,,7253015786,nodes,11.1715862,10.3052618
"Usman Memorial Primary school Gombe, Gombe State",,school,,,,,,,11157936205,nodes,11.1701167,10.29419
Gombe model primary school 5A 5B,,school,,,,,,,11153589705,nodes,11.1677842,10.3073745
"Usman Memorial Primary school Gombe , Gombe State",,school,,,,,,,11157938005,nodes,11.1707596,10.294369
class Room 1A,,school,,,,,,,11153561905,nodes,11.1671647,10.307334
Dr. abubakar abdullahi Baba  jolly phonics resources room,,school,,,,,,,11153534710,nodes,11.1674108,10.307194
GSTC Gombe state,,school,,,,,,,11151648205,nodes,11.1780769,10.2956223
