NAME,amenity,building,operator_t,addr_full,addr_city,source,osm_id,osm_type,longitude,latitude
ECWA NURSERY AND PRIMARY SCHOOL WILI,school,,private,,,,11162412524,nodes,11.2651197,9.9091441
SCHOOL OF POST GRADUATE STUDIES,college,,,,,,7253015689,nodes,11.1715808,10.3056459
"USMAN MEMORIAL PRIMARY SCHOOL GOMBE, GOMBE STATE",school,,,,,,11157936205,nodes,11.1701167,10.29419
GOMBE MODEL PRIMARY SCHOOL 5A 5B,school,,,,,,11153589705,nodes,11.1677842,10.3073745
"USMAN MEMORIAL PRIMARY SCHOOL GOMBE , GOMBE STATE",school,,,,,,11157938005,nodes,11.1707596,10.294369
GSTC GOMBE STATE,school,,,,,,11151648205,nodes,11.1780769,10.2956223
GCDSS GOMBE STATE,school,,,,,,11151673606,nodes,11.1815632,10.3008064
MODEL PRIMARY SCHOOL TUDUNSAIBU,school,,government,,Kaduna,GNS,501525384,nodes,12.533333,9.1
SCHOOL FOR ARQABIC AND ISLAMIC STUDIES,school,,,,,,10302653113,nodes,12.4877952,9.2066747
HAMMAWA PRIMARY SCHOOL,school,,,,,,10302584686,nodes,12.4864514,9.2067581
ADAMAWA AGRICULTURAL DEVELOPMENT PROGRAM,school,,,,,,10302651984,nodes,12.4876115,9.2077721
KWADON PRIMARY SCHOOL,school,,,,,,11225448142,nodes,11.2869887,10.2763107
GOVERNMENT DAY SENIOR SECONDARY SCHOOL HERWAGANA,school,,,,,,11225303837,nodes,11.1769632,10.2846031
MADARASATUL ALARAMMA MALAN GAMBO LITTAH FIZZUL QURAN,school,,,,,,11225843737,nodes,11.1585283,10.2889848
JAURO TUDUN WADA PRIMARY SCHOOL,school,,government,,,,12462985092,nodes,11.1710844,10.3004571
CROSS KAUWA PRIMARY SCHOOL,school,,,,Cross Kauwa,,13476535039,nodes,13.6756669,12.9407991
